#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
48.566135, 242, 8.856, 16698420, 291292, 11336.097, 0, 2
48.816402, 244, 23.176, 16670340, 120829, 11452.463, 0, 2
49.66664, 243, 23.275, 16651440, 81992, 11586.367, 0, 2
49.316932, 34, 29.619, 16600680, 213604, 11995.248, 3, 2
49.567470, 54, 17.006, 16514820, 372866, 12212.768, 3, 2
49.817795, 1448, 0.207, 16639020, 843560, 12446.146, 0, 2
50.68080, 1447, 0.385, 16620120, 2787519, 12532.237, 0, 2
50.318357, 587, 0.272, 17150400, 1402479, 12622.010, 0, 2
50.568611, 1447, 0.216, 17877780, 284829, 12823.129, 0, 2
50.818858, 1447, 0.214, 18545760, 686184, 13090.950, 0, 2
51.69139, 242, 20.534, 17844840, 2914905, 13194.450, 0, 2
51.319422, 242, 20.534, 16954380, 3626768, 11728.366, 0, 2
51.569693, 243, 23.397, 16053120, 3676595, 11700.388, 0, 2
51.819979, 243, 23.363, 14932080, 4571864, 11628.486, 0, 2
52.70255, 54, 36.741, 14070240, 3529931, 11595.816, 0, 2
52.320540, 69, 20.502, 12941640, 4612712, 10045.122, 0, 2
52.570834, 1198, 0.272, 12585780, 4263323, 10019.653, 1, 2
52.821151, 587, 0.228, 12634920, 3378271, 10015.177, 1, 2
53.71432, 587, 0.269, 12731580, 2636555, 10032.106, 1, 2
53.321699, 1313, 5.908, 12623040, 3976600, 8521.890, 1, 2
53.571969, 242, 13.283, 12613860, 1408968, 8700.109, 1, 2
53.822234, 242, 13.283, 11691540, 3765012, 8648.250, 1, 2
54.72537, 243, 23.348, 10656900, 4224126, 8563.884, 1, 2
54.322829, 243, 23.809, 9834480, 3354894, 7034.571, 1, 2
54.573111, 862, 21.875, 9569340, 1089623, 7013.312, 1, 2
54.823379, 54, 15.943, 9442440, 528609, 7404.602, 1, 2
55.73661, 98, 2.675, 10099080, 56099, 7550.348, 1, 2
55.323918, 1447, 0.206, 10727100, 265406, 7814.916, 1, 2
55.574186, 122, 3.778, 11511720, 222242, 8092.743, 1, 2
55.824412, 1447, 0.322, 12382740, 168327, 8254.804, 1, 2
56.74683, 242, 4.400, 12771000, 64729, 8373.855, 1, 2
56.324951, 243, 23.002, 12738600, 138082, 8809.454, 1, 2
56.575239, 243, 23.376, 12677580, 252447, 8972.713, 1, 2
56.825494, 243, 23.485, 12678660, 0, 8972.713, 1, 2
57.75758, 862, 7.428, 12627900, 217931, 9525.136, 1, 2
57.326008, 241, 6.331, 12631680, 0, 9525.136, 1, 2
57.576249, 587, 0.247, 13022640, 112210, 9799.653, 1, 2
57.826520, 1439, 0.261, 13753800, 101409, 10244.918, 1, 2
58.76787, 753, 0.229, 14563800, 116513, 10422.117, 1, 2
58.327072, 1446, 0.242, 15425100, 0, 10422.117, 1, 2
58.577327, 162, 2.368, 16067700, 0, 10422.117, 1, 2
58.827587, 242, 13.471, 16068780, 0, 10422.117, 1, 2
59.77872, 243, 23.363, 16045020, 101411, 11231.372, 1, 2
59.328114, 243, 23.386, 16046100, 0, 11231.372, 1, 2
59.578384, 244, 23.478, 16047180, 0, 11231.372, 1, 2
59.828625, 54, 15.674, 16052580, 0, 11231.372, 1, 2
60.78913, 587, 0.271, 16141140, 241658, 12456.181, 1, 2
60.329194, 1447, 0.209, 16838820, 153187, 12720.592, 1, 2
60.579450, 1447, 0.204, 17513280, 483344, 12933.670, 1, 2
60.829722, 118, 4.102, 18334080, 241657, 13113.876, 1, 2
61.79984, 1447, 0.202, 19189440, 101412, 13310.789, 1, 2
61.330324, 168, 3.623, 19249920, 90591, 13310.789, 2, 0
61.580607, 242, 21.805, 19251000, 4314, 13763.725, 2, 0
61.830937, 243, 23.399, 19238580, 58244, 14117.902, 2, 0
62.81208, 243, 23.446, 19227780, 56097, 14316.524, 2, 0
62.331470, 73, 12.173, 19231560, 2157, 14536.999, 2, 0
